featureCounts 2.0.6 | seed 2 | fragments per file 400
annotation: 45 genes, 95 exon lines

== SE: 601 records, 400 fragments/records
[default] (defaults): summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[-O] -O: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[-s 1] -s 1: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[-s 2] -s 2: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[-M] -M: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[-M --fraction] -M --fraction: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--primary] --primary: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[-M --primary] -M --primary: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[-O --fraction] -O --fraction: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[-M -O --fraction] -O -M --fraction: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[-Q 10] -Q 10: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[-Q 30 -s 2] -s 2 -Q 30: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--ignoreDup] --ignoreDup: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--splitOnly] --splitOnly: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--nonSplitOnly] --nonSplitOnly: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--minOverlap 10] --minOverlap 10: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--fracOverlap 0.5] --fracOverlap 0.5: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--fracOverlap 1] --fracOverlap 1.0: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--largestOverlap] --largestOverlap: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[-O --largestOverlap] -O --largestOverlap: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--nonOverlap 5] --nonOverlap 5: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--fracOverlapFeature 0.5] --fracOverlapFeature 0.5: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--nonOverlapFeature 20] --nonOverlapFeature 20: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--minOverlap 10 --largestOverlap -O --fraction] -O --fraction --largestOverlap --minOverlap 10: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[-f] -f: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/95 -> OK
[-f -O] -O -f: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/95 -> OK
[-f -O --fraction --largestOverlap] -O --fraction --largestOverlap -f: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/95 -> OK
[--read2pos 5] --read2pos 5: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--read2pos 3 -s 1] -s 1 --read2pos 3: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--readExtension5 20] --readExtension5 20: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--readExtension3 20 -s 2] -s 2 --readExtension3 20: summary total 601 vs 601 units; status/target mismatches 0/400; count mismatches 0/45 -> OK

== PE: 1098 records, 400 fragments/records
[default] -p --countReadPairs: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[-O] -p --countReadPairs -O: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[-s 1] -p --countReadPairs -s 1: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[-s 2] -p --countReadPairs -s 2: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[-M] -p --countReadPairs -M: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[-M --fraction] -p --countReadPairs -M --fraction: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--primary] -p --countReadPairs --primary: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[-M --primary] -p --countReadPairs -M --primary: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[-O --fraction] -p --countReadPairs -O --fraction: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[-M -O --fraction] -p --countReadPairs -O -M --fraction: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[-Q 10] -p --countReadPairs -Q 10: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[-Q 30 -s 2] -p --countReadPairs -s 2 -Q 30: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--ignoreDup] -p --countReadPairs --ignoreDup: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--splitOnly] -p --countReadPairs --splitOnly: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--nonSplitOnly] -p --countReadPairs --nonSplitOnly: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--minOverlap 10] -p --countReadPairs --minOverlap 10: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--fracOverlap 0.5] -p --countReadPairs --fracOverlap 0.5: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--fracOverlap 1] -p --countReadPairs --fracOverlap 1.0: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--largestOverlap] -p --countReadPairs --largestOverlap: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[-O --largestOverlap] -p --countReadPairs -O --largestOverlap: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--nonOverlap 5] -p --countReadPairs --nonOverlap 5: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--fracOverlapFeature 0.5] -p --countReadPairs --fracOverlapFeature 0.5: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--nonOverlapFeature 20] -p --countReadPairs --nonOverlapFeature 20: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--minOverlap 10 --largestOverlap -O --fraction] -p --countReadPairs -O --fraction --largestOverlap --minOverlap 10: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[-f] -p --countReadPairs -f: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/95 -> OK
[-f -O] -p --countReadPairs -O -f: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/95 -> OK
[-f -O --fraction --largestOverlap] -p --countReadPairs -O --fraction --largestOverlap -f: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/95 -> OK
[--read2pos 5] -p --countReadPairs --read2pos 5: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--read2pos 3 -s 1] -p --countReadPairs -s 1 --read2pos 3: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
[--readExtension5 20] -p --countReadPairs --readExtension5 20: summary total 560 vs 560 units; status/target mismatches 0/400; count mismatches 0/45 -> OK
