featureCounts 2.0.6 | seed 1 | fragments per file 400
annotation: 49 genes, 115 exon lines

== SE: 622 records, 400 fragments/records
[--nonOverlap 5] -p --countReadPairs --nonOverlap 5: summary total 531 vs 531 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[--fracOverlapFeature 0.5] -p --countReadPairs --fracOverlapFeature 0.5: summary total 531 vs 531 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[--nonOverlapFeature 20] -p --countReadPairs --nonOverlapFeature 20: summary total 531 vs 531 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[--minOverlap 10 --largestOverlap -O --fraction] -p --countReadPairs -O --fraction --largestOverlap --minOverlap 10: summary total 531 vs 531 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[-f] -p --countReadPairs -f: summary total 531 vs 531 units; status/target mismatches 0/400; count mismatches 0/115 -> OK
[-f -O] -p --countReadPairs -O -f: summary total 531 vs 531 units; status/target mismatches 0/400; count mismatches 0/115 -> OK
[-f -O --fraction --largestOverlap] -p --countReadPairs -O --fraction --largestOverlap -f: summary total 531 vs 531 units; status/target mismatches 0/400; count mismatches 0/115 -> OK
[--read2pos 5] -p --countReadPairs --read2pos 5: summary total 531 vs 531 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[--read2pos 3 -s 1] -p --countReadPairs -s 1 --read2pos 3: summary total 531 vs 531 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[--readExtension5 20] -p --countReadPairs --readExtension5 20: summary total 531 vs 531 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[--readExtension3 20 -s 2] -p --countReadPairs -s 2 --readExtension3 20: summary total 531 vs 531 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[-B] -p --countReadPairs -B: summary total 531 vs 531 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[-C] -p --countReadPairs -C: summary total 531 vs 531 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[-B -C -s 2] -p --countReadPairs -B -C -s 2: summary total 531 vs 531 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[-P -B -d 50 -D 300] -p --countReadPairs -B -P -d 50 -D 300: summary total 531 vs 531 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[-P -B -C -d 100 -D 250 -Q 10] -p --countReadPairs -B -C -P -Q 10 -d 100 -D 250: summary total 531 vs 531 units; status/target mismatches 0/400; count mismatches 0/49 -> OK

== PE-as-reads: 1036 records, 1036 fragments/records
[default] -p: summary total 1036 vs 1036 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[-O] -p -O: summary total 1036 vs 1036 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[-s 1] -p -s 1: summary total 1036 vs 1036 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[-s 2] -p -s 2: summary total 1036 vs 1036 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[-M --fraction] -p -M --fraction: summary total 1036 vs 1036 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[-Q 10] -p -Q 10: summary total 1036 vs 1036 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[--ignoreDup] -p --ignoreDup: summary total 1036 vs 1036 units; status/target mismatches 0/400; count mismatches 0/49 -> OK
[--fracOverlap 0.5] -p --fracOverlap 0.5: summary total 1036 vs 1036 units; status/target mismatches 0/400; count mismatches 0/49 -> OK

Option sets with any disagreement: 0
