pmcid	doi	journal	year	versions	findings	title
PMC10589678	10.1073/pnas.2307508120	PNAS	2023			The adaptive stochasticity hypothesis: Modeling equifinality, multifinality, and adaptation to adversity.
PMC10438384	10.1073/pnas.2303491120	PNAS	2023			Human white matter myelinates faster in utero than ex utero.
PMC10293846	10.1073/pnas.2212910120	PNAS	2023	6.0.0	FS1-f2z-if-Ftests-reported;FS2-flame12-Fdof-if-flame12-Ftests;FS4-grf-smallN-LUT(if small-n groups);FS7-bet-volume-shell(if absolute volumes)	Brain-to-brain mechanisms underlying pain empathy and social modulation of pain in the patient-clinician interaction.
PMC10235949	10.1073/pnas.2217232120	PNAS	2023		FS5b-tfce-border(if tight FOV)	Brain imaging and neuropsychological assessment of individuals recovered from a mild to moderate SARS-CoV-2 infection.
PMC10235977	10.1073/pnas.2218565120	PNAS	2023			Human and chimpanzee shared and divergent neurobiological systems for general and specific cognitive brain functions.
PMC10193980	10.1073/pnas.2217635120	PNAS	2023			MWF of the corpus callosum is a robust measure of remyelination: Results from the ReBUILD trial.
PMC10175835	10.1073/pnas.2218443120	PNAS	2023		FS1-f2z-if-Ftests-reported;FS3-tukey-taper-z-inflation;FS4-grf-smallN-LUT(if small-n groups)	Learning rules of engagement for social exchange within and between groups.
PMC10068819	10.1073/pnas.2120288120	PNAS	2023	5.0.9		Identifying causal subsequent memory effects.
PMC10068756	10.1073/pnas.2218949120	PNAS	2023		FS7-bet-volume-shell(if absolute volumes)	Human brain effects of DMT assessed via EEG-fMRI.
PMC10089159	10.1073/pnas.2207831120	PNAS	2023		FS6-dtifit-floor+eigenvalues(if multishell/ROI-near-CSF)	Propofol disrupts alpha dynamics in functionally distinct thalamocortical networks during loss of consciousness.
PMC9992854	10.1073/pnas.2216399120	PNAS	2023			Robust machine learning segmentation for large-scale analysis of heterogeneous clinical brain MRI datasets.
PMC9963219	10.1073/pnas.2212256120	PNAS	2023			Brain aerobic glycolysis and resilience in Alzheimer disease.
PMC9907070	10.1073/pnas.2209307119	PNAS	2022			Information flow across the cortical timescale hierarchy during narrative construction.
PMC9897479	10.1073/pnas.2208867119	PNAS	2022			Compulsive drug-taking is associated with habenula-frontal cortex connectivity.
PMC9618143	10.1073/pnas.2200257119	PNAS	2022		FS1-f2z-if-Ftests-reported;FS3-tukey-taper-z-inflation;FS4-grf-smallN-LUT(if small-n groups)	Neural event segmentation of continuous experience in human infants.
PMC9586323	10.1073/pnas.2205162119	PNAS	2022	6.0	FS6-dtifit-floor+eigenvalues(if multishell/ROI-near-CSF);FS7-bet-volume-shell(if absolute volumes)	Morphological similarity of amygdala-ventral prefrontal pathways represents trait anxiety in younger and older adults.
PMC9586270	10.1073/pnas.2204135119	PNAS	2022	5.0.9	FS6-dtifit-floor+eigenvalues(if multishell/ROI-near-CSF)	Prenatal exposure to maternal social disadvantage and psychosocial stress and neonatal white matter connectivity at birth.
PMC9564098	10.1073/pnas.2200511119	PNAS	2022	6.0	FS7-bet-volume-shell(if absolute volumes)	Mind blanking is a distinct mental state linked to a recurrent brain profile of globally positive connectivity during ongoing mentation.
PMC9564102	10.1073/pnas.2203039119	PNAS	2022		FS7-bet-volume-shell(if absolute volumes)	Hippocampus and temporal pole functional connectivity is associated with age and individual differences in autobiographical memory.
PMC9436370	10.1073/pnas.2205767119	PNAS	2022			An analysis of emotions and the prominence of positivity in #BlackLivesMatter tweets.
