package	category	n_papers	journals	years	top_versions	typical_pipeline_stages
AutoDock Vina	md	40	PNAS=31;Nature=7;Cell=2	2021=5;2022=5;2023=6;2024=8;2025=14;2026=2	1.1.2=5;4.2=2;1.2.5=1;1.5.7=1;4.2.6=1	simulation/modelling=5;structure determination=1
Nextstrain	phylogenetics	40	Nature=15;PNAS=15;Cell=5;NEJM=3;Science=1;Lancet=1	2021=10;2022=6;2023=10;2024=7;2025=5;2026=2	1.0.0=2;3.12.036=1;1.0.3=1;21.0.1=1;0.15=1	alignment/mapping=7;visualisation=2;machine learning=1;structure determination=1
AFNI	neuroimaging	39	PNAS=38;Nature=1	2021=7;2022=9;2023=6;2024=8;2025=9	21.1.10=1;2016.09.04.1341=1	registration=11;alignment/mapping=3;dimensionality reduction/clustering=3;normalisation=2
GEMMA	statgen	38	PNAS=25;Nature=11;Science=1;Cell=1	2021=4;2022=6;2023=4;2024=8;2025=9;2026=7	0.98.5=4;0.98.1=3;0.98.3=2;0.94=2;0.93=1	differential/statistical testing=12;variant calling=3;dimensionality reduction/clustering=2;alignment/mapping=2
OpenMM	md	38	PNAS=30;Nature=3;Cell=3;Science=2	2021=3;2022=7;2023=6;2024=9;2025=12;2026=1	7.5=1;7.3.1=1;8.1.0=1;7.4.1=1;7.8=1	simulation/modelling=29;machine learning=3;differential/statistical testing=1;structure determination=1
NetworkX	general	37	PNAS=19;Nature=12;Science=3;Cell=3	2021=2;2022=3;2023=8;2024=8;2025=13;2026=3	2.0=1;2.6.2=1;2.5.1=1;2.6.3=1;2.8.3=1	visualisation=7;dimensionality reduction/clustering=3;normalisation=1;differential/statistical testing=1
hifiasm	genomics	34	Nature=24;PNAS=10	2022=2;2023=7;2024=6;2025=14;2026=5	0.13=3;0.11=2;0.16.1=2;0.15.3=1;0.14.1=1	variant calling=6;alignment/mapping=2;read trimming=1
data.table	general	34	Nature=21;PNAS=9;Cell=2;Science=1;Lancet=1	2021=5;2022=2;2023=9;2024=7;2025=9;2026=2	1.14.2=4;1.14.8=3;1.12.8=2;1.14.6=1;1.13.2=1	dimensionality reduction/clustering=2;visualisation=1;simulation/modelling=1;normalisation=1
fMRIPrep	neuroimaging	34	PNAS=31;Nature=3	2021=4;2022=3;2023=7;2024=8;2025=10;2026=2	20.2.3=2;1.2.3=2;20.2.1=2;20.2.0=2;20.1.1=2	registration=3;dimensionality reduction/clustering=1;differential/statistical testing=1;quality control=1
SoupX	single-cell	33	Nature=19;PNAS=9;Science=3;Cell=2	2021=1;2022=3;2023=4;2024=11;2025=7;2026=7	1.6.2=5;1.5.2=2;1.6.0=1;1.4.8=1;1.5.0=1	quality control=13;dimensionality reduction/clustering=4;normalisation=2;quantification=1
MAGMA	statgen	33	Nature=19;PNAS=12;Cell=2	2021=2;2022=4;2023=4;2024=6;2025=11;2026=6	1.10=3;1.08=2	differential/statistical testing=9;alignment/mapping=2;dimensionality reduction/clustering=1
Harmony	single-cell	32	Nature=23;PNAS=5;Cell=3;Science=1	2021=1;2022=2;2023=3;2024=8;2025=8;2026=10	0.1.1=5;1.2.3=2;1.2.0=2;1.2.1=2;1.0=2	dimensionality reduction/clustering=13;normalisation=10;visualisation=3;quality control=3
Suite2p	neuro-tools	32	Nature=19;PNAS=10;Cell=2;Science=1	2022=7;2023=5;2024=5;2025=11;2026=4		registration=10;alignment/mapping=3
Kraken2	microbiome	31	Nature=15;PNAS=13;Cell=3	2021=4;2022=3;2023=6;2024=6;2025=9;2026=3	2.1.1=3;2.0.8=2;2.1.3=2;2.1.2=2	alignment/mapping=6;quality control=3;quantification=2;read trimming=2
phyloseq	microbiome	31	PNAS=17;Nature=11;Cell=3	2021=4;2022=4;2023=10;2024=5;2025=5;2026=3	1.20=1;1.28.0=1;1.46=1;1.32.0=1;1.34.0=1	visualisation=5;quantification=4;differential/statistical testing=3;dimensionality reduction/clustering=1
Pilon	genomics	31	PNAS=20;Nature=10;Cell=1	2021=7;2022=7;2023=5;2024=6;2025=5;2026=1	1.23=9;1.22=4;1.24=2;1.18=2	alignment/mapping=4;read trimming=1;structure determination=1
Keras	general	31	PNAS=16;Nature=13;Cell=2	2021=5;2022=4;2023=10;2024=5;2025=6;2026=1	2.3.1=2;2.2.4=1	machine learning=13;simulation/modelling=1
AUGUSTUS	genomics	29	PNAS=20;Nature=9	2021=6;2022=4;2023=5;2024=6;2025=5;2026=3	3.2.3=3;3.1.0=2;3.4.0=2;3.3.3=2;3.3=2	machine learning=7;alignment/mapping=6;structure determination=1
Canu	genomics	29	PNAS=17;Nature=9;Science=1;Lancet=1;Cell=1	2021=4;2022=7;2023=8;2024=2;2025=3;2026=5	2.1.1=5;1.8=3;1.6=3;2.2=2;2.0=1	alignment/mapping=2;read trimming=2;variant calling=2;structure determination=1
freebayes	genomics	29	PNAS=19;Nature=8;Cell=2	2021=6;2022=5;2023=4;2024=4;2025=8;2026=2	1.3.1=3;1.1.0=3;1.3.2=3;1.2.0=1;1.0.2=1	variant calling=15;alignment/mapping=6;registration=2;differential/statistical testing=2
emcee	physical	28	Nature=24;PNAS=4	2022=4;2023=10;2024=8;2025=5;2026=1		simulation/modelling=16;differential/statistical testing=2;quantification=1
Quantum ESPRESSO	md	27	PNAS=22;Nature=5	2021=2;2022=4;2023=6;2024=6;2025=7;2026=2	6.4.1=1;6.3=1	simulation/modelling=6
Conda	workflow	27	PNAS=14;Nature=10;Cell=3	2021=4;2022=5;2023=6;2024=3;2025=5;2026=4	2020.11=1;2020.02=1	visualisation=2;dimensionality reduction/clustering=1;simulation/modelling=1;machine learning=1
REFMAC	structbio	26	PNAS=15;Nature=8;Cell=2;Science=1	2021=3;2022=7;2023=9;2024=4;2025=2;2026=1	5.8=2;5.8.0258=1	structure determination=21;machine learning=2;differential/statistical testing=1
QUAST	genomics	25	PNAS=15;Nature=10	2022=2;2023=7;2024=2;2025=11;2026=3	5.0.2=4;5.2.0=3;5.2.0.2=1;5.0=1;5.0.0=1	alignment/mapping=3;differential/statistical testing=2;read trimming=2;quality control=1
PsychoPy	neuro-tools	25	PNAS=19;Nature=6	2021=3;2022=3;2023=5;2024=4;2025=8;2026=2	2.22=1;2021.1.4=1;2021.2.3=1;1.90.3=1	
Salmon	genomics	23	Nature=17;PNAS=6	2021=2;2022=3;2023=2;2024=4;2025=5;2026=7	0.14.1=3;1.10.1=3;1.4.0=3;1.10.2=2;1.5.1=2	quantification=16;alignment/mapping=13;read trimming=2;quality control=1
StarDist	imaging	22	Nature=13;PNAS=7;Cell=2	2021=1;2022=2;2023=3;2024=5;2025=8;2026=3	0.3.0=1	machine learning=11;normalisation=1;quantification=1
pandas	general	22	Nature=19;PNAS=2;Cell=1	2021=2;2022=2;2023=2;2024=5;2025=7;2026=4	2.0.3=2;1.5.3=2;1.5.1=2;1.0.1=1;2.2.3=1	differential/statistical testing=3;visualisation=2;quality control=2;normalisation=1
EEGLAB	neuroimaging	22	PNAS=20;Nature=1;Cell=1	2021=3;2022=5;2023=3;2024=3;2025=6;2026=2	2019.1=1;2021.0=1;13.6.5b=1	
REGENIE	statgen	21	Nature=21	2021=2;2022=2;2023=3;2024=3;2025=4;2026=7	3.5=2;3.2=1;4.1=1;3.4.1=1;3.2.9=1	differential/statistical testing=9;dimensionality reduction/clustering=3;variant calling=2
napari	imaging	21	Nature=11;PNAS=6;Cell=3;Science=1	2023=2;2024=5;2025=8;2026=6	0.4.17=1	visualisation=5;machine learning=1;quantification=1
SAIGE	statgen	21	Nature=17;PNAS=3;Science=1	2021=5;2022=5;2023=3;2024=5;2025=3	1.1.5=1;0.35.8.8=1;0.39=1	differential/statistical testing=8;alignment/mapping=2;dimensionality reduction/clustering=2;variant calling=1
Galaxy	workflow	21	PNAS=12;Nature=7;Science=1;Cell=1	2021=3;2022=5;2023=2;2024=4;2025=7	2.11.40.7=1;24.2=1	alignment/mapping=3;read trimming=2;visualisation=1;quality control=1
lavaan	general	21	PNAS=20;Nature=1	2021=3;2022=2;2023=4;2024=6;2025=3;2026=3	0.6=4;0.6.8=1	differential/statistical testing=3;machine learning=1
TreeTime	phylogenetics	20	PNAS=9;Nature=6;Cell=3;Science=2	2021=3;2022=6;2023=4;2024=2;2025=4;2026=1	0.7.6=2;0.7.4=1;0.9.4=1;0.8.4=1;0.8.1=1	structure determination=4;normalisation=4;alignment/mapping=1;dimensionality reduction/clustering=1
Strelka	genomics	20	Nature=15;PNAS=3;Science=1;Cell=1	2021=2;2022=4;2023=5;2024=3;2025=4;2026=2	2.9.10=4;2.4.7=3;1.0.15=2;2.0.15=1;2.8.2=1	variant calling=3;alignment/mapping=2;registration=1;normalisation=1
JAGS	general	20	PNAS=18;Nature=1;Lancet=1	2021=1;2022=4;2023=6;2024=3;2025=6	4.3=1;4.2.0=1	differential/statistical testing=10;simulation/modelling=4;quantification=1
Singularity	workflow	19	PNAS=9;Nature=8;Cell=2	2021=1;2022=3;2023=1;2024=4;2025=8;2026=2	1.1.8=1;3.2.1=1;3.8=1	
Squidpy	single-cell	19	Nature=15;Science=2;PNAS=2	2022=1;2023=3;2024=2;2025=9;2026=4	1.1.2=2;1.2.3=1;1.3.0=1;1.6.2=1	dimensionality reduction/clustering=5;quantification=2;quality control=2;normalisation=2
ape (R)	phylogenetics	19	Nature=13;PNAS=6	2021=1;2022=3;2023=2;2024=5;2025=4;2026=4	5.8=3;5.6=3;5.5=1;5.7=1;5.7.1=1	visualisation=4;alignment/mapping=2;structure determination=2;differential/statistical testing=1
Connectome Workbench	neuroimaging	19	PNAS=12;Nature=5;Science=1;Cell=1	2021=1;2022=3;2023=2;2024=4;2025=7;2026=2	1.5=3;1.2.3=2;1.0=1	alignment/mapping=5;visualisation=5;machine learning=1;structure determination=1
dynesty	physical	18	Nature=16;PNAS=2	2023=9;2024=5;2025=3;2026=1		differential/statistical testing=5;simulation/modelling=1;quantification=1
DeepVariant	genomics	18	Nature=16;PNAS=2	2022=3;2023=2;2024=1;2025=7;2026=5	1.4.0=2;1.3.0=2;1.6.0=2;1.6=1;0.4=1	variant calling=9;alignment/mapping=7;machine learning=2;quality control=1
FUMA	statgen	18	PNAS=11;Nature=5;Science=1;Cell=1	2021=1;2022=2;2023=3;2024=3;2025=6;2026=3	1.6.3=1;1.5.6=1;1.5.2=1	alignment/mapping=6;differential/statistical testing=4;visualisation=1
RDKit	md	18	PNAS=14;Nature=4	2021=1;2022=1;2023=6;2024=2;2025=6;2026=2		simulation/modelling=2;dimensionality reduction/clustering=2;machine learning=1;structure determination=1
MDTraj	md	18	PNAS=9;Nature=7;Science=1;Cell=1	2021=1;2022=3;2023=2;2024=7;2025=5	1.9.8=1	simulation/modelling=10;dimensionality reduction/clustering=1;visualisation=1;differential/statistical testing=1
Geant4	physical	17	Nature=15;PNAS=2	2021=1;2022=4;2023=2;2024=2;2025=6;2026=2		simulation/modelling=15
MOM6	physical	17	PNAS=14;Nature=3	2021=3;2022=2;2023=3;2024=5;2025=3;2026=1		simulation/modelling=8;dimensionality reduction/clustering=2;machine learning=1
SHAPEIT	statgen	16	Nature=9;PNAS=4;Cell=3	2021=1;2022=6;2023=1;2024=2;2025=4;2026=2		variant calling=9
Astropy	physical	16	Nature=14;PNAS=1;Cell=1	2021=2;2022=2;2023=5;2024=4;2025=3	2.0.2=1	
WRF	physical	16	PNAS=13;Nature=3	2021=1;2022=3;2023=1;2024=2;2025=9	4.3.1=1	simulation/modelling=7;differential/statistical testing=1;normalisation=1;dimensionality reduction/clustering=1
