pmcid	doi	journal	year	version	commands	features	title
PMC12557543	10.1073/pnas.2506243122	PNAS	2025		FEAT;fsl_anat	task fMRI GLM (FEAT/FILM)	Fundamental features of social environments determine rate of social affiliation.
PMC12501135	10.1073/pnas.2506513122	PNAS	2025				Disentangling metabolic and neurovascular timescales supporting cognitive processes.
PMC12435315	10.1073/pnas.2502269122	PNAS	2025		FEAT;SUSAN	smoothing (SUSAN);task fMRI GLM (FEAT/FILM)	Joint models reveal human subcortical underpinnings of choice and learning behavior.
PMC12377651	10.1073/pnas.2421528122	PNAS	2025		mcflirt		Familial transmission of neural representations for mental arithmetic across two generations.
PMC12337265	10.1073/pnas.2501578122	PNAS	2025	5.0.9	FEAT;FLIRT;MCFLIRT	brain extraction (BET);linear registration (FLIRT);motion correction (MCFLIRT);permutation inference (randomise);task fMRI GLM (FEAT/FILM)	Orexin effect on physiological pulsations of the human brain.
PMC12327799	10.1073/pnas.2505965122	PNAS	2025		BET;MCFLIRT	brain extraction (BET);linear registration (FLIRT);motion correction (MCFLIRT);task fMRI GLM (FEAT/FILM)	Trauma-predictive brain network connectivity adaptively responds to mild acute stress.
PMC12260544	10.1073/pnas.2502021122	PNAS	2025	6.0			Action-mode subnetworks for decision-making, action control, and feedback.
PMC12184337	10.1073/pnas.2414598122	PNAS	2025		topup	distortion correction (topup/eddy);permutation inference (randomise)	Longitudinal trajectories of brain development from infancy to school age and their relationship with literacy development.
PMC12167953	10.1073/pnas.2422396122	PNAS	2025	5.0	BET;FEAT	brain extraction (BET);task fMRI GLM (FEAT/FILM)	Shared disbelief and shared belief: Belief and disbelief as drivers of interpersonal neural synchronization during narrative processing.
PMC12168018	10.1073/pnas.2412729122	PNAS	2025		FLIRT;bedpostx;probtrackx2	diffusion fitting (dtifit/bedpostx);distortion correction (topup/eddy);linear registration (FLIRT);tractography (probtrackx/xtract)	Structure-function coupling in the first month of life: Associations with age and attention.
PMC12146774	10.1073/pnas.2418176122	PNAS	2025		FLAME	group mixed effects (FLAME)	Longitudinal associations between birth-to-six cortical growth and childhood neurocognitive function.
PMC12037044	10.1073/pnas.2405706122	PNAS	2025				Mapping global brain reconfigurations following local targeted manipulations.
PMC12012540	10.1073/pnas.2413871122	PNAS	2025	5.0.9	FEAT;FILM;mcflirt	GRF cluster correction;group mixed effects (FLAME);task fMRI GLM (FEAT/FILM)	The Beholder's Share: Bridging art and neuroscience to study individual differences in subjective experience.
PMC12002349	10.1073/pnas.2423785122	PNAS	2025		FEAT	task fMRI GLM (FEAT/FILM)	Neural basis for individual differences in the attention-enhancing effects of methylphenidate.
PMC11892684	10.1073/pnas.2411245122	PNAS	2025				Protective role of parenthood on age-related brain function in mid- to late-life.
PMC11760929	10.1073/pnas.2422083122	PNAS	2025	5.0.4	FEAT;fslmaths	task fMRI GLM (FEAT/FILM)	Specialization of the human hippocampal long axis revisited.
PMC11761675	10.1073/pnas.2421585122	PNAS	2025				Expansion of a conserved architecture drives the evolution of the primate visual cortex.
PMC11725837	10.1073/pnas.2415102122	PNAS	2025		FEAT	task fMRI GLM (FEAT/FILM)	Human brain dynamics are shaped by rare long-range connections over and above cortical geometry.
