test	outcome	seconds	walltime	mem	category	message
test_ft_volumewrite	FAIL	2	00:10:00	1gb	mex	mat2file.c not compiled - see Makefile @ external/spm12/@file_array/private/mat2file.m:15
test_ft_write_data	FAIL	1	00:10:00	1gb	matlab-only	audiowrite: failed to open output file '/tmp/oct-bL0b5R/write_oga.oga': Error : major format is 0. @ fileio/ft_write_data.m:610
test_headmodel_asa	FAIL	3	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_headmodel_bemcp	FAIL	3	00:10:00	1gb	mex	'bem_Cii_lin' undefined near line 177, column 10 @ forward/ft_headmodel_bemcp.m:177
test_headmodel_concentricspheres	FAIL	1	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_headmodel_dipoli	FAIL	2	00:10:00	1gb	external	there is no dipoli executable for your platform @ forward/ft_headmodel_dipoli.m:192
test_headmodel_hbf	FAIL	1	00:20:00	1gb	external	invalid call to script /tmp/claude-0/-home-user-research-software-audit/51868b87-edac-5181-aac9-af38332c9ac8/scratchpad/ftfix/external/hbf/hbf_mesh/hbf_SolidAngles.m @ external/hbf/hbf_mesh/hbf_SolidAngles.m:-1
test_headmodel_interpolate	FAIL	1	00:45:00	4gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_headmodel_openmeeg	FAIL	1	00:20:00	1gb	external	OpenMEEG not found @ external/openmeeg/om_checkombin.m:94
test_headmodel_singlesphere	FAIL	1	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_issue1167	FAIL	1	00:10:00	1gb	matlab-only	'strip' undefined near line 63, column 23  The 'strip' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ utilities/dccnpath.m:63
test_issue1198	FAIL	1	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_issue1214	PASS	6	00:10:00	1gb	pass	
test_issue1292	FAIL	1	00:10:00	1gb	octave-difference	NaN: dimensions must be scalars. @ test/private/ft_fetch_data.m:91
test_issue1322	FAIL	2	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_issue1329	FAIL	1	01:00:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_issue1363	FAIL	1	01:00:00	4gb	matlab-only	'strip' undefined near line 63, column 23  The 'strip' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ utilities/dccnpath.m:63
test_issue1400	FAIL	2	00:10:00	1gb	matlab-only	'table' undefined near line 35, column 18  The 'table' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ test/test_issue1400.m:35
test_issue1418	FAIL	2	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_issue1431	FAIL	2	00:10:00	1gb	matlab-only	'pad' undefined near line 596, column 7  The 'pad' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ ft_databrowser.m:596
test_issue1459	FAIL	2	00:10:00	1gb	matlab-only	'pad' undefined near line 1861, column 43  The 'pad' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ utilities/ft_checkdata.m:1861
test_issue1546	FAIL	2	00:10:00	1gb	octave-difference	cannot determine whether "endsample" should be interpreted as true or false @ utilities/istrue.m:36
test_issue1564	FAIL	1	00:10:00	1gb	matlab-only	'table' undefined near line 30, column 20  The 'table' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ test/test_issue1564.m:30
test_issue1568	FAIL	1	00:10:00	1gb	matlab-only	'table' undefined near line 33, column 20  The 'table' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ test/test_issue1568.m:33
test_issue1618	FAIL	34	00:10:00	1gb	mex	'CalcMD5' undefined near line 30, column 24 @ fileio/private/inflate_file.m:30
test_issue1695	FAIL	2	01:00:00	1gb	mex	file2mat.c not compiled - see Makefile @ external/spm12/@file_array/private/file2mat.m:15
test_issue1711	FAIL	2	00:10:00	1gb	matlab-only	Invalid call to round.  Correct usage is:   -- Y = round (X) @ ../../../../../../usr/share/octave/8.4.0/m/help/print_usage.m:105
test_issue1721	FAIL	7	00:10:00	1gb	graphics	get: invalid default property 'colormap' @ private/topoplot_common.m:648
test_issue1841	FAIL	2	00:30:00	2gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_issue1843	FAIL	2	00:30:00	2gb	graphics	Invalid call to colormap.  Correct usage is:   -- CMAP = colormap ()  -- CMAP = colormap (MAP)  -- CMAP = colormap ("default")  -- CMAP = colormap (MAP_NAME)  -- CMAP = colormap (HAX, ...)  -- colormap MAP_NAME @ ../../../../../../usr/share/octave/8.4.0/m/help/print_usage.m:105
test_issue1985	PASS	1	00:10:00	1gb	pass	
test_issue2021	FAIL	1	00:10:00	2gb	octave-difference	assert (contains (lasterr, 'This function requires raw data as input, see ft_datatype_raw.')) failed @ ../../../../../../usr/share/octave/8.4.0/m/testfun/assert.m:107
test_issue2059	FAIL	1	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_issue2075	PASS	2	00:10:00	2gb	pass	
test_issue2124	FAIL	3	00:10:00	1gb	octave-difference	cannot determine whether "endsample" should be interpreted as true or false @ utilities/istrue.m:36
test_issue2162	PASS	2	00:10:00	1gb	pass	
test_issue2169	PASS	6	00:10:00	1gb	pass	
test_issue2235	FAIL	1	00:10:00	1gb	matlab-only	'table' undefined near line 29, column 14  The 'table' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ test/test_issue2235.m:29
test_issue2265	FAIL	2	00:10:00	1gb	octave-difference	assert (abs (imag (freq.fourierspctrm (end))) < 100 * eps) failed @ ../../../../../../usr/share/octave/8.4.0/m/testfun/assert.m:107
test_issue627	PASS	10	00:10:00	1gb	pass	
test_issue714	FAIL	3	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_issue928	FAIL	2	00:10:00	1gb	octave-difference	horizontal dimensions mismatch (1x1 vs 2x0) @ plotting/ft_plot_vector.m:290
test_laggedcoherence	PASS	23	00:20:00	1gb	pass	
test_layout_egi	FAIL	2	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_nanstat	FAIL	1	00:10:00	1gb	external	the XUNIT toolbox is not available, see http://www.mathworks.com/matlabcentral/fileexchange/22846-matlab-xunit-test-framework @ utilities/ft_hastoolbox.m:571
test_old_buffer_latency_bandwidth	FAIL	1	00:10:00	1gb	external	'moxunit_throw_test_skipped_exception' undefined near line 27, column 3 @ test/test_old_buffer_latency_bandwidth.m:27
test_old_connectivityanalysis	FAIL	1	00:10:00	1gb	external	'moxunit_throw_test_skipped_exception' undefined near line 17, column 3 @ test/test_old_connectivityanalysis.m:17
test_old_fixcsd	PASS	15	00:10:00	2gb	pass	
test_old_preproc_resample	PASS	2	00:10:00	1gb	pass	
test_openmeeg_eeg	FAIL	2	00:30:00	2gb	external	OpenMEEG not found @ external/openmeeg/om_checkombin.m:94
test_pull1138	FAIL	1	00:10:00	1gb	data	load: unable to find file /project/3031000.02/external/download/tutorial/human_ecog/SubjectUCI29/SubjectUCI29_freq.mat @ test/test_pull1138.m:8
test_pull1156	FAIL	1	00:20:00	1gb	matlab-only	'strip' undefined near line 63, column 23  The 'strip' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ utilities/dccnpath.m:63
test_pull1427	FAIL	2	01:00:00	4gb	matlab-only	'pad' undefined near line 1861, column 43  The 'pad' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ utilities/ft_checkdata.m:1861
test_pull1600	FAIL	5	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_pull1602	PASS	114	00:10:00	1gb	pass	
test_pull1757	FAIL	7	00:10:00	1gb	dpss-hack	dpss: function called with too many outputs @ external/signal/dpss_hack/dpss.m:-1
test_pull1839	FAIL	2	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_pull1877	FAIL	13	00:20:00	1gb	graphics	Invalid call to colormap.  Correct usage is:   -- CMAP = colormap ()  -- CMAP = colormap (MAP)  -- CMAP = colormap ("default")  -- CMAP = colormap (MAP_NAME)  -- CMAP = colormap (HAX, ...)  -- colormap MAP_NAME @ ../../../../../../usr/share/octave/8.4.0/m/help/print_usage.m:105
test_pull2050	FAIL	1	00:10:00	1gb	matlab-only	'strip' undefined near line 63, column 23  The 'strip' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ utilities/dccnpath.m:63
test_pull2105	FAIL	2	00:20:00	1gb	graphics	get: invalid default property 'colormap' @ private/topoplot_common.m:648
test_pull2582	FAIL	1	00:10:00	1gb	matlab-only	'strip' undefined near line 63, column 23  The 'strip' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ utilities/dccnpath.m:63
test_pull2593	FAIL	5	00:20:00	2gb	mex	spm_bwlabel.c not compiled - see Makefile @ external/spm12/spm_bwlabel.m:25
test_pull348	FAIL	1	00:10:00	1gb	matlab-only	binary operator '==' not implemented for 'cell' by 'cell' operations @ ../../../../../../usr/share/octave/8.4.0/m/general/isequal.m:117
test_pull360	FAIL	2	00:10:00	1gb	mex	spm_conv_vol.c not compiled - see Makefile @ external/spm12/spm_conv_vol.m:36
test_pull393	FAIL	1	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_pull434	FAIL	1	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_pull492	FAIL	9	00:10:00	1gb	graphics	get: invalid default property 'colormap' @ ft_multiplotTFR.m:550
test_read_trigger	PASS	4	00:10:00	1gb	pass	
test_shuffle_coilorder	FAIL	13	00:10:00	2gb	octave-difference	ic(1501): out of bound 0 (dimensions are 0x0) @ private/remove_double_vertices.m:51
test_spm_ft_integration	FAIL	1	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_triangulate_seg	FAIL	1	00:10:00	1gb	mex	spm_bwlabel.c not compiled - see Makefile @ external/spm8/spm_bwlabel.m:37
test_tutorial_connectivity	FAIL	7	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_tutorial_connectivity2	FAIL	2	00:10:00	1gb	dpss-hack	dpss: function called with too many outputs @ external/signal/dpss_hack/dpss.m:-1
test_tutorial_networkanalysis_eeg20220126	FAIL	1	00:30:00	8gb	data	load: unable to find file /project/3031000.02/external/download/tutorial/networkanalysis_eeg/data_eeg_reref_ica.mat @ test/test_tutorial_networkanalysis_eeg20220126.m:14
test_warp	FAIL	1	00:10:00	1gb	octave-difference	rigidbody coregistration failed @ test/test_warp.m:28
