test	outcome	seconds	walltime	mem	category	message
test_bug2560	FAIL	2	00:15:00	1gb	graphics	Invalid call to colormap.  Correct usage is:   -- CMAP = colormap ()  -- CMAP = colormap (MAP)  -- CMAP = colormap ("default")  -- CMAP = colormap (MAP_NAME)  -- CMAP = colormap (HAX, ...)  -- colormap MAP_NAME @ ../../../../../../usr/share/octave/8.4.0/m/help/print_usage.m:105
test_bug2585	FAIL	2	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_bug2593	FAIL	3	00:10:00	1gb	octave-difference	the component unmixing failed @ ft_componentanalysis.m:871
test_bug2606	FAIL	6	00:10:00	1gb	mex	spm_bwlabel.c not compiled - see Makefile @ external/spm12/spm_bwlabel.m:25
test_bug2640	FAIL	1	00:10:00	1gb	graphics	__marching_cube__: XX, YY, ZZ, v must be 3-D matrices @ ../../../../../../usr/share/octave/8.4.0/m/plot/draw/private/__marching_cube__.m:100
test_bug2680	FAIL	1	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_bug272	FAIL	2	00:10:00	1gb	matlab-only	save: Unrecognized option '-nocompression' @ utilities/private/savevar.m:43
test_bug2727	FAIL	3	00:10:00	1gb	graphics	get: invalid default property 'colormap' @ private/topoplot_common.m:648
test_bug2732	PASS	2	00:10:00	1gb	pass	
test_bug2761	PASS	3	00:10:00	1gb	pass	
test_bug2769	FAIL	2	00:10:00	1gb	matlab-only	'pad' undefined near line 1881, column 41  The 'pad' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ utilities/ft_checkdata.m:1881
test_bug2776	PASS	5	00:10:00	1gb	pass	
test_bug2785	PASS	4	00:10:00	1gb	pass	
test_bug2816	PASS	2	00:10:00	1gb	pass	
test_bug2820	FAIL	4	00:10:00	1gb	graphics	Invalid call to colormap.  Correct usage is:   -- CMAP = colormap ()  -- CMAP = colormap (MAP)  -- CMAP = colormap ("default")  -- CMAP = colormap (MAP_NAME)  -- CMAP = colormap (HAX, ...)  -- colormap MAP_NAME @ ../../../../../../usr/share/octave/8.4.0/m/help/print_usage.m:105
test_bug2855	FAIL	6	00:10:00	1gb	mex	spm_bwlabel.c not compiled - see Makefile @ external/spm12/spm_bwlabel.m:25
test_bug2956	FAIL	2	00:10:00	1gb	octave-difference	Invalid call to ifft.  Correct usage is:   -- X = ifft (Y)  -- X = ifft (Y, N)  -- X = ifft (Y, N, DIM) @ ../../../../../../usr/share/octave/8.4.0/m/help/print_usage.m:105
test_bug2965	FAIL	2	00:10:00	1gb	dpss-hack	dpss: function called with too many outputs @ external/signal/dpss_hack/dpss.m:-1
test_bug2976	FAIL	2	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_bug2994	FAIL	3	00:10:00	1gb	mex	spm_bwlabel.c not compiled - see Makefile @ external/spm12/spm_bwlabel.m:25
test_bug3048	FAIL	2	00:20:00	1gb	octave-difference	assert (isequal (freq1.trial {1}, freq2.trial {1})) failed @ ../../../../../../usr/share/octave/8.4.0/m/testfun/assert.m:107
test_bug3075	FAIL	2	00:20:00	1gb	matlab-only	save: Unrecognized option '-nocompression' @ utilities/private/savevar.m:43
test_bug3077	FAIL	2	00:20:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_bug3078	FAIL	1	00:15:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_bug3182	FAIL	2	00:10:00	1gb	dpss-hack	dpss: function called with too many outputs @ external/signal/dpss_hack/dpss.m:-1
test_bug3192	FAIL	1	00:10:00	1gb	graphics	__go_patch__: invalid value for array property "cdata", unable to create graphics handle @ ../../../../../../usr/share/octave/8.4.0/m/plot/draw/private/__patch__.m:182
test_bug3196	FAIL	1	00:10:00	1gb	graphics	__go_patch__: invalid value for array property "cdata", unable to create graphics handle @ ../../../../../../usr/share/octave/8.4.0/m/plot/draw/private/__patch__.m:182
test_bug3205	FAIL	2	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_bug3229	FAIL	1	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_bug3238	PASS	21	00:10:00	1gb	pass	
test_bug3256	FAIL	2	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_bug3275	FAIL	2	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_bug3287	PASS	6	00:10:00	1gb	pass	
test_bug3295	PASS	7	00:10:00	1gb	pass	
test_bug3325	FAIL	50	01:00:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_bug3336	FAIL	1	00:10:00	1gb	octave-difference	assert (!isequal (msg1, msg2)) failed @ ../../../../../../usr/share/octave/8.4.0/m/testfun/assert.m:107
test_bug3337	FAIL	1	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_bug3343	FAIL	1	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_bug3354	PASS	2	00:20:00	1gb	pass	
test_bug3358	FAIL	8	00:10:00	1gb	graphics	get: invalid default property 'colormap' @ ft_multiplotTFR.m:550
test_bug3368	FAIL	1	00:10:00	2gb	matlab-only	'strip' undefined near line 63, column 23  The 'strip' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ utilities/dccnpath.m:63
test_bug3378	FAIL	2	00:10:00	1gb	graphics	octave_base_value::int_value (): wrong type argument 'sq_string' @ ft_singleplotTFR.m:444
test_bug3403	FAIL	2	00:10:00	1gb	matlab-only	'table' undefined near line 177, column 17  The 'table' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ ft_artifact_threshold.m:177
test_bug3420	FAIL	2	00:10:00	1gb	matlab-only	corr: function called with too many inputs @ ../../../../../../usr/share/octave/8.4.0/m/statistics/corr.m:-1
test_bug3435	FAIL	5	00:20:00	1gb	mex	mat2file.c not compiled - see Makefile @ external/spm12/@file_array/private/mat2file.m:15
test_bug3453	FAIL	2	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_bug3475	FAIL	1	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_bug472	FAIL	1	00:20:00	1gb	matlab-only	buffer: n must be an integer @ ../../../../../../usr/share/octave/packages/signal-1.4.5/buffer.m:64
test_bug538	PASS	7	00:10:00	1gb	pass	
test_bug670	FAIL	1	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_bug686	FAIL	3	00:30:00	1gb	mex	'bem_Cii_lin' undefined near line 177, column 10 @ forward/ft_headmodel_bemcp.m:177
test_bug70	FAIL	1	00:20:00	1gb	external	OpenMEEG not found @ external/openmeeg/om_checkombin.m:94
test_bug780	PASS	1	00:10:00	1gb	pass	
test_bug996	PASS	13	00:10:00	1gb	pass	
test_checkcode	FAIL	3	00:20:00	1gb	matlab-only	'checkcode' undefined near line 172, column 7  The 'checkcode' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ test/test_checkcode.m:172
test_clusterstat	FAIL	2	00:10:00	1gb	mex	spm_bwlabel.c not compiled - see Makefile @ external/spm12/spm_bwlabel.m:25
test_convert_event	FAIL	1	00:10:00	1gb	matlab-only	'array2table' undefined near line 44, column 14  The 'array2table' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ test/test_convert_event.m:44
test_csp	FAIL	2	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_example_bem_evaluation20220113	FAIL	1	00:10:00	2gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_example_compute_leadfield20220113	FAIL	1	00:10:00	2gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_example_custom_forwinv20220113	FAIL	1	00:20:00	2gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_example_effects_of_tapering20220113	FAIL	2	00:10:00	2gb	dpss-hack	dpss: function called with too many outputs @ external/signal/dpss_hack/dpss.m:-1
test_example_filter_characteristics20220113	PASS	5	00:10:00	2gb	pass	
test_example_granger_conditional20220113	FAIL	12	00:10:00	2gb	dpss-hack	dpss: function called with too many outputs @ external/signal/dpss_hack/dpss.m:-1
test_example_irasa	FAIL	2	00:10:00	1gb	octave-difference	cannot determine whether "endsample" should be interpreted as true or false @ utilities/istrue.m:36
test_example_neighbours20220113	FAIL	2	00:10:00	2gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_example_samplesize20220113	FAIL	1	01:30:00	6gb	matlab-only	'strip' undefined near line 63, column 23  The 'strip' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ utilities/dccnpath.m:63
test_example_simulate_forward_dipolefit	FAIL	1	00:10:00	1gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_example_simulateddata20220113	FAIL	2	00:10:00	2gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_example_simulateddata_beamformer20220113	FAIL	1	00:10:00	2gb	octave-difference	strfind: cell arguments must have matching sizes @ compat/octave/contains.m:88
test_example_simulateddata_clusterstats20220113	FAIL	18	00:10:00	2gb	mex	spm_bwlabel.c not compiled - see Makefile @ external/spm12/spm_bwlabel.m:25
