test	outcome	seconds	walltime	mem	message
test_bug1153	PASS	2	00:10:00	1gb	
test_bug2269	PASS	4	00:10:00	1gb	
test_bug2680	PASS	4	00:10:00	1gb	
test_bug3337	PASS	3	00:10:00	1gb	
test_bug2378	PASS	22	00:10:00	1gb	
test_example_ssvep20220113	PASS	4	00:10:00	2gb	
test_ft_rejectartifact	PASS	2	00:10:00	1gb	
test_example_irasa	PASS	91	00:10:00	1gb	
test_issue2124	PASS	6	00:10:00	1gb	
test_issue1546	PASS	90	00:10:00	1gb	
