test	outcome	seconds	walltime	mem	message
test_bug1967a	FAIL	2	00:20:00	1gb	'pad' undefined near line 1861, column 43  The 'pad' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ utilities/ft_checkdata.m:1861
test_bug1836	FAIL	13	00:10:00	1gb	'alphamap' undefined near line 384, column 7  The 'alphamap' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ plotting/ft_plot_mesh.m:384
test_bug1976	FAIL	1	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug2025	PASS	1	00:10:00	1gb	
test_bug2031	FAIL	2	00:10:00	1gb	'nanmean' undefined near line 524, column 11  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ private/topoplot_common.m:524
test_bug2033	PASS	1	00:10:00	1gb	
test_bug2040	FAIL	1	00:10:00	1gb	copyfile: no files to move @ ../../../usr/share/octave/8.4.0/m/miscellaneous/copyfile.m:108
test_bug2061	FAIL	2	00:10:00	1gb	'nanmean' undefined near line 223, column 16  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ ft_timelockanalysis.m:223
test_bug2069	FAIL	5	00:10:00	1gb	spm_bwlabel.c not compiled - see Makefile @ external/spm12/spm_bwlabel.m:25
test_bug2071	PASS	2	00:10:00	1gb	
test_bug2085	FAIL	1	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug2148	FAIL	7	00:10:00	1gb	dpss: function called with too many outputs @ external/signal/dpss_hack/dpss.m:-1
test_bug2032	FAIL	33	00:20:00	1gb	'spm_existfile' undefined near line 109, column 5 @ external/spm8/spm_vol.m:109
test_bug2186	FAIL	3	00:10:00	1gb	'nanmean' undefined near line 1538, column 16  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ utilities/ft_checkdata.m:1538
test_bug2197	PASS	2	00:10:00	1gb	
test_bug2224	PASS	2	00:10:00	1gb	
test_bug2265	FAIL	2	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug1114	PASS	143	00:10:00	1gb	
test_bug2269	FAIL	1	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug2277	FAIL	2	00:10:00	1gb	octave_base_value::int_value (): wrong type argument 'sq_string' @ ft_singleplotTFR.m:447
test_bug2363	PASS	2	00:10:00	1gb	
test_bug2342	FAIL	3	00:10:00	1gb	dpss: function called with too many outputs @ external/signal/dpss_hack/dpss.m:-1
test_bug2370	PASS	1	00:10:00	1gb	
test_bug2376	FAIL	1	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug2378	FAIL	1	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug2394	PASS	2	00:10:00	1gb	
test_bug2364	PASS	7	00:10:00	1gb	
test_bug2404	FAIL	1	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug2440	FAIL	1	00:10:00	1gb	'nanmean' undefined near line 156, column 11  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ preproc/ft_preproc_bandpassfilter.m:156
test_bug2444	PASS	1	00:10:00	1gb	
test_bug2450	PASS	1	00:10:00	1gb	
test_bug2460	PASS	1	00:10:00	1gb	
test_bug2502	PASS	2	00:10:00	1gb	
test_bug2509	PASS	1	00:10:00	1gb	
test_bug2508	PASS	4	00:10:00	1gb	
test_bug2524	FAIL	1	00:10:00	1gb	assert (numel (strfind (s, '5.0')) == 3) failed @ ../../../usr/share/octave/8.4.0/m/testfun/assert.m:107
test_bug2528	PASS	2	00:10:00	1gb	
test_bug2553	FAIL	2	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug2556	PASS	4	00:10:00	1gb	
test_bug2560	FAIL	3	00:15:00	1gb	Invalid call to colormap.  Correct usage is:   -- CMAP = colormap ()  -- CMAP = colormap (MAP)  -- CMAP = colormap ("default")  -- CMAP = colormap (MAP_NAME)  -- CMAP = colormap (HAX, ...)  -- colormap MAP_NAME @ ../../../usr/share/octave/8.4.0/m/help/print_usage.m:105
test_bug2563	PASS	2	00:10:00	1gb	
test_bug2570	PASS	1	00:10:00	1gb	
test_bug2585	FAIL	2	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug2593	FAIL	2	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug2597	PASS	3	00:10:00	1gb	
test_bug2606	FAIL	6	00:10:00	1gb	spm_bwlabel.c not compiled - see Makefile @ external/spm12/spm_bwlabel.m:25
test_bug2639	PASS	1	00:10:00	1gb	
test_bug2640	FAIL	1	00:10:00	1gb	__marching_cube__: XX, YY, ZZ, v must be 3-D matrices @ ../../../usr/share/octave/8.4.0/m/plot/draw/private/__marching_cube__.m:100
test_bug2664	PASS	2	00:10:00	1gb	
test_bug2680	FAIL	1	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug272	FAIL	2	00:10:00	1gb	'nanmean' undefined near line 223, column 16  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ ft_timelockanalysis.m:223
test_bug2727	FAIL	3	00:10:00	1gb	'nanmean' undefined near line 524, column 11  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ private/topoplot_common.m:524
test_bug2732	FAIL	1	00:10:00	1gb	'nanmean' undefined near line 156, column 11  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ preproc/ft_preproc_bandpassfilter.m:156
test_bug2761	FAIL	2	00:10:00	1gb	'nanmean' undefined near line 1538, column 16  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ utilities/ft_checkdata.m:1538
test_bug2769	FAIL	2	00:10:00	1gb	'pad' undefined near line 1881, column 41  The 'pad' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ utilities/ft_checkdata.m:1881
test_bug2558	PASS	42	00:10:00	1gb	
test_bug2776	FAIL	4	00:10:00	1gb	'nanmean' undefined near line 156, column 11  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ preproc/ft_preproc_bandpassfilter.m:156
test_bug2783	PASS	1	00:10:00	1gb	
test_bug2782	PASS	2	00:10:00	1gb	
test_bug2785	FAIL	2	00:10:00	1gb	'nanmean' undefined near line 223, column 16  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ ft_timelockanalysis.m:223
test_bug2816	FAIL	2	00:10:00	1gb	'nanmean' undefined near line 1538, column 16  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ utilities/ft_checkdata.m:1538
test_bug2820	FAIL	5	00:10:00	1gb	Invalid call to colormap.  Correct usage is:   -- CMAP = colormap ()  -- CMAP = colormap (MAP)  -- CMAP = colormap ("default")  -- CMAP = colormap (MAP_NAME)  -- CMAP = colormap (HAX, ...)  -- colormap MAP_NAME @ ../../../usr/share/octave/8.4.0/m/help/print_usage.m:105
test_bug2855	FAIL	6	00:10:00	1gb	spm_bwlabel.c not compiled - see Makefile @ external/spm12/spm_bwlabel.m:25
test_bug2956	FAIL	2	00:10:00	1gb	'nanmean' undefined near line 150, column 14  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ private/preproc.m:150
test_bug2160	PASS	95	00:10:00	1gb	
test_bug2874	PASS	4	00:10:00	1gb	
test_bug2965	FAIL	2	00:10:00	1gb	dpss: function called with too many outputs @ external/signal/dpss_hack/dpss.m:-1
test_bug298	PASS	1	00:10:00	1gb	
test_bug2976	FAIL	1	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug2971	PASS	2	00:10:00	1gb	
test_bug3048	FAIL	2	00:20:00	1gb	assert (isequal (freq1.trial {1}, freq2.trial {1})) failed @ ../../../usr/share/octave/8.4.0/m/testfun/assert.m:107
test_bug3075	FAIL	2	00:20:00	1gb	'nanmean' undefined near line 150, column 14  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ private/preproc.m:150
test_bug2994	FAIL	3	00:10:00	1gb	spm_bwlabel.c not compiled - see Makefile @ external/spm12/spm_bwlabel.m:25
test_bug3078	FAIL	1	00:15:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug3077	FAIL	2	00:20:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug3134	PASS	1	00:10:00	1gb	
test_bug3182	FAIL	2	00:10:00	1gb	dpss: function called with too many outputs @ external/signal/dpss_hack/dpss.m:-1
test_bug3192	FAIL	1	00:10:00	1gb	__go_patch__: invalid value for array property "cdata", unable to create graphics handle @ ../../../usr/share/octave/8.4.0/m/plot/draw/private/__patch__.m:182
test_bug3196	FAIL	1	00:10:00	1gb	__go_patch__: invalid value for array property "cdata", unable to create graphics handle @ ../../../usr/share/octave/8.4.0/m/plot/draw/private/__patch__.m:182
test_bug3205	FAIL	1	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug3150	PASS	4	00:10:00	1gb	
test_bug3229	FAIL	1	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug3238	FAIL	1	00:10:00	1gb	'nanmean' undefined near line 156, column 11  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ preproc/ft_preproc_bandpassfilter.m:156
test_bug3275	FAIL	2	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug3256	FAIL	2	00:10:00	1gb	'nanmean' undefined near line 223, column 16  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ ft_timelockanalysis.m:223
test_bug3293	PASS	1	00:10:00	1gb	
test_bug3295	FAIL	1	00:10:00	1gb	'nanmean' undefined near line 156, column 11  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ preproc/ft_preproc_bandpassfilter.m:156
test_bug3214	PASS	6	00:20:00	1gb	
test_bug3287	FAIL	3	00:10:00	1gb	'nanmean' undefined near line 1538, column 16  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ utilities/ft_checkdata.m:1538
test_bug3336	FAIL	1	00:10:00	1gb	assert (!isequal (msg1, msg2)) failed @ ../../../usr/share/octave/8.4.0/m/testfun/assert.m:107
test_bug3325	FAIL	1	01:00:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug3337	FAIL	1	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/endsWith.m:90
test_bug3343	FAIL	1	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug3354	FAIL	2	00:20:00	1gb	'nanmean' undefined near line 1538, column 16  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ utilities/ft_checkdata.m:1538
test_bug3368	FAIL	1	00:10:00	2gb	'strip' undefined near line 63, column 23  The 'strip' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ utilities/dccnpath.m:63
test_bug3378	FAIL	2	00:10:00	1gb	octave_base_value::int_value (): wrong type argument 'sq_string' @ ft_singleplotTFR.m:444
test_bug3397	PASS	2	00:10:00	1gb	
test_bug3403	FAIL	1	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug3420	FAIL	2	00:10:00	1gb	corr: function called with too many inputs @ ../../../usr/share/octave/8.4.0/m/statistics/corr.m:-1
test_bug3453	FAIL	2	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug3358	FAIL	8	00:10:00	1gb	get: invalid default property 'colormap' @ ft_multiplotTFR.m:550
test_bug3475	FAIL	2	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug3435	FAIL	5	00:20:00	1gb	mat2file.c not compiled - see Makefile @ external/spm12/@file_array/private/mat2file.m:15
test_bug472	FAIL	1	00:20:00	1gb	buffer: n must be an integer @ ../../../usr/share/octave/packages/signal-1.4.5/buffer.m:64
test_bug670	FAIL	1	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_bug70	FAIL	1	00:20:00	1gb	OpenMEEG not found @ external/openmeeg/om_checkombin.m:94
test_bug686	FAIL	3	00:30:00	1gb	'bem_Cii_lin' undefined near line 177, column 10 @ forward/ft_headmodel_bemcp.m:177
test_bug538	FAIL	4	00:10:00	1gb	invalid function handle, unable to find function for @nanmean @ utilities/ft_selectdata.m:1396
test_bug780	FAIL	1	00:10:00	1gb	'nanmean' undefined near line 158, column 11  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ preproc/ft_preproc_highpassfilter.m:158
test_bug840	PASS	1	00:10:00	1gb	
test_bug931	PASS	1	00:10:00	1gb	
test_bug893	PASS	2	00:10:00	1gb	
test_bug946	PASS	2	00:10:00	1gb	
test_channelconnectivity	PASS	1	00:10:00	1gb	
test_clusterstat	FAIL	2	00:10:00	1gb	spm_bwlabel.c not compiled - see Makefile @ external/spm12/spm_bwlabel.m:25
test_checkcode	FAIL	3	00:20:00	1gb	'checkcode' undefined near line 172, column 7  The 'checkcode' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ test/test_checkcode.m:172
test_convert_event	FAIL	1	00:10:00	1gb	'array2table' undefined near line 44, column 14  The 'array2table' function is not yet implemented in Octave.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ test/test_convert_event.m:44
test_csp	FAIL	2	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_datatype_parcellation	PASS	1	00:10:00	1gb	
test_datatype_source	PASS	1	00:10:00	1gb	
test_bug996	FAIL	14	00:10:00	1gb	'nanmean' undefined near line 443, column 11  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ ft_singleplotER.m:443
test_datatype_segmentation	PASS	12	00:10:00	1gb	
test_example_bem_evaluation20220113	FAIL	1	00:10:00	2gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_example_bids20220113	PASS	1	00:10:00	2gb	
